id,Proposal_no,user_id,Moef_file_no,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm,user_id1
401,FP/TR/MRL/10/2016,8364,NA,Location ADAG in Agartala Dome Block,Mining,ONGC,0.809,24-Apr-20,Tripura,Draft,,8364
211,FP/TR/MRL/9/2015,397,NA,"Tripura Oil and Gas Exploration Block AA-ONN-2002/1 NELP-IV Proposal for diversion of 2.036 Hact. (5.031 Acre) forest land for Drill Site,Waste Pit, Drill Site Accommodation TSR Camp for location called Dev 37A",Mining,JUBILANT OIL AND GAS PVT LTD,2.036,27-May-17,Tripura,Pending with UA,,397
215,FP/TR/MRL/10/2015,397,NA,Tripura Oil & Gas Exploration Block AA-ONN-2002/1 NELP-IV Jubilant Oil and Gas Pvt. Ltd. and GAIL(INDIA)LTD. Proposal for diversion of 2.031 Hact.(5.017 Acre) Forest land for construction of Drill Site Wastepit Drill Site Accommodation TSR Camp and its approach road for location called Dev 34A-1.,Mining,JUBILANT OIL AND GAS PVT LTD,2.031,27-May-17,Tripura,Pending with UA,,397
266,FP/TR/MRL/12/2015,397,NA,"Tripura Oil and Gas Exploration Block AA-ONN-2002/1 NELP-IV (Jubilant Oil & Gas Pvt.Ltd. and GAIL (INDIA) LTD. Proposal for diversion of 1.572 Hact (3.884 acre)Forest Land for construction of Drill Site Waste pit Drill Site Accommodation and TSR Camp for location called Dev 37B.<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">markenavntablet.site</a> quetiapin wirkstoff</div>",Mining,JUBILANT OIL AND GAS PVT LTD,1.572,27-May-17,Tripura,Pending with UA,,397
394,FP/TR/MRL/6/2016,8364,NA,"Location IRO#1 (RO#29) in Rokhia Block<div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">quetiapin und valdoxan</a> quetiapin wirkstoff</div><div style=""display:none"">quetiapin ritalin <a href=""http://markenavntablet.site/quetiapin-m?¶rke-navn.asp"">markenavntablet.site</a> quetiapin wirkstoff</div>",Mining,ONGC,0.809,24-Oct-16,Tripura,Draft,,8364
203,FP/TR/MRL/7/2015,397,NA,Tripura Oil and Gas Exploration Block AA-ONN-2002/1 NELP-IV,Mining,JUBILANT OIL AND GAS PVT LTD,3.909,18-Jul-16,Tripura,Pending with UA,,397
143,FP/TR/MRL/4/2014,397,3 TRC 027/2015-SHI,Tripura Oil & Gas Exploration Block AA-ONN-2002/1 NELP-IV,Mining,JUBILANT OIL AND GAS PVT LTD,7.757,26-Nov-14,Tripura,Pending at RO,20-Apr-15,397
843,FP/UP/MRL/1/2019,94766,NA,"G2 Level exploration for Phosphorite Block in Sonrai rock phosphate deposit Tehsil Madawara, District Lalitpur Uttar pradesh",Mining,DIRECTORATE OF GEOLOGY AND MINING UP,145.455,11-Mar-20,Uttar Pradesh,Pending at DFO/DCF,,94766
767,FP/UP/MRL/7/2018,590,NA,"Prospecting of Atomic Minerals in Siroti, Kudar and Nimna Forest Blocks of Renukut Division District Sonbhadra U.P.",Mining,Regional Director Northern Region Atomic Minerals Directorate,1500,9-Sep-19,Uttar Pradesh,Pending with UA,,590
488,FP/UP/MRL/1/2017,49528,NA,Naktu Area of NIMNA P F District Sonbhadra,Mining,Regional Director Northern Region Atomic Minerals Directorate,39,3-May-17,Uttar Pradesh,Draft,,49528
